,model,pre_len,mse,mae,r2,precipitationIntensity,temperature,humidity,weatherCode
2021-07-10 06:15:00,,,,,,0.5938,12.5,91.0,Light Rain
2021-07-10 06:20:00,,,,,,0.6615,12.5,91.0,Light Rain
2021-07-10 06:25:00,,,,,,0.7292,12.5,91.0,Light Rain
2021-07-10 06:30:00,,,,,,0.7969,12.5,91.0,Light Rain
2021-07-10 06:35:00,,,,,,0.7604333329999999,12.72666667,89.33333333,Light Rain
2021-07-10 06:40:00,,,,,,0.723966667,12.95333333,87.66666667,Light Rain
2021-07-10 06:45:00,,,,,,0.6875,13.18,86.0,Light Rain
2021-07-10 06:50:00,,,,,,0.8906333329999999,13.18,86.0,Light Rain
2021-07-10 06:55:00,,,,,,1.0937666670000001,13.18,86.0,Light Rain
2021-07-10 07:00:00,,,,,,1.2969,13.18,86.0,Light Rain
2021-07-10 07:05:00,,,,,,1.3984666669999999,13.18,86.0,Light Rain
2021-07-10 07:10:00,,,,,,1.5000333330000002,13.18,86.0,Light Rain
2021-07-10 07:15:00,,,,,,1.6016,13.18,86.0,Light Rain
2021-07-10 07:20:00,,,,,,1.7526333330000001,13.18,86.0,Light Rain
2021-07-10 07:25:00,,,,,,1.903666667,13.18,86.0,Light Rain
2021-07-10 07:30:00,,,,,,2.0547,13.18,86.0,Light Rain
2021-07-10 07:35:00,,,,,,1.976566667,13.45333333,84.66666667,Light Rain
2021-07-10 07:40:00,,,,,,1.898433333,13.72666667,83.33333333,Light Rain
2021-07-10 07:45:00,,,,,,1.8203,14.0,82.0,Light Rain
2021-07-10 07:50:00,,,,,,1.8151,14.0,82.0,Light Rain
2021-07-10 07:55:00,,,,,,1.8099,14.0,82.0,Light Rain
2021-07-10 08:00:00,,,,,,1.8047,14.0,82.0,Light Rain
2021-07-10 08:05:00,,,,,,1.9817666669999998,14.0,82.0,Light Rain
2021-07-10 08:10:00,,,,,,2.158833333,14.0,82.0,Light Rain
2021-07-10 08:15:00,,,,,,2.3359,14.0,82.0,Light Rain
2021-07-10 08:20:00,,,,,,2.2890333330000003,14.0,82.0,Light Rain
2021-07-10 08:25:00,,,,,,2.242166667,14.0,82.0,Light Rain
2021-07-10 08:30:00,,,,,,2.1953,14.0,82.0,Light Rain
2021-07-10 08:35:00,,,,,,1.5755,14.22666667,81.0,Light Rain
2021-07-10 08:40:00,,,,,,0.9557,14.45333333,80.0,Light Rain
2021-07-10 08:45:00,,,,,,0.3359,14.68,79.0,Drizzle
2021-07-10 08:50:00,,,,,,0.43746666700000003,14.68,79.0,Drizzle
2021-07-10 08:55:00,,,,,,0.539033333,14.68,79.0,Drizzle
2021-07-10 09:00:00,,,,,,0.6406,14.68,79.0,Light Rain
2021-07-10 09:05:00,,,,,,0.6432,14.68,79.0,Light Rain
2021-07-10 09:10:00,,,,,,0.6458,14.68,79.0,Light Rain
2021-07-10 09:15:00,,,,,,0.6484,14.68,79.0,Light Rain
2021-07-10 09:20:00,,,,,,0.593733333,14.74333333,78.33333333,Light Rain
2021-07-10 09:25:00,,,,,,0.539066667,14.80666667,77.66666667,Light Rain
2021-07-10 09:30:00,,,,,,0.4844,14.87,77.0,Drizzle
2021-07-10 09:35:00,,,,,,0.39323333299999996,14.87,77.0,Drizzle
2021-07-10 09:40:00,,,,,,0.302066667,14.87,77.0,Drizzle
2021-07-10 09:45:00,,,,,,0.2109,14.87,77.0,Drizzle
2021-07-10 09:50:00,,,,,,0.2109,15.12,76.0,Drizzle
2021-07-10 09:55:00,,,,,,0.2109,15.37,75.0,Drizzle
2021-07-10 10:00:00,,,,,,0.2109,15.62,74.0,Drizzle
2021-07-10 10:05:00,,,,,,0.338533333,15.62,74.0,Drizzle
2021-07-10 10:10:00,,,,,,0.46616666700000003,15.62,74.0,Drizzle
2021-07-10 10:15:00,,,,,,0.5938,15.62,74.0,Light Rain
2021-07-10 10:20:00,,,,,,0.591166667,15.62,74.0,Light Rain
2021-07-10 10:25:00,,,,,,0.588533333,15.62,74.0,Light Rain
2021-07-10 10:30:00,,,,,,0.5859,15.62,74.0,Light Rain
2021-07-10 10:35:00,,,,,,0.6354,15.68333333,74.0,Light Rain
2021-07-10 10:40:00,,,,,,0.6849,15.74666667,74.0,Light Rain
2021-07-10 10:45:00,,,,,,0.7344,15.81,74.0,Light Rain
2021-07-10 10:50:00,,,,,,0.5443,15.81,74.0,Light Rain
